chunk_id,document_id,company,quarter,year,document_type,chunk_type,chunk_index,start_position,end_position,token_count,contains_financial_data,section_type
BRITANNIA_Q1_2024_financial_chunk_20,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,20,19893,20889,248,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_21,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,21,20889,21882,248,True,
BRITANNIA_Q1_2024_financial_chunk_22,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,22,21882,22876,248,True,
BRITANNIA_Q1_2024_financial_chunk_23,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,23,22876,23875,249,True,
BRITANNIA_Q1_2024_financial_chunk_24,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,24,23875,24874,249,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_25,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,25,24874,25870,248,False,
BRITANNIA_Q1_2024_financial_chunk_26,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,26,25870,26868,249,False,
BRITANNIA_Q1_2024_financial_chunk_27,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,27,26868,27866,249,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_28,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,28,27866,28861,248,True,
BRITANNIA_Q1_2024_financial_chunk_29,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,29,28861,29855,248,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_30,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,30,29855,30804,237,True,
BRITANNIA_Q1_2024_financial_chunk_31,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,31,30804,31800,248,True,
BRITANNIA_Q1_2024_financial_chunk_32,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,32,31800,32798,249,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_33,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,33,32798,33791,248,True,
BRITANNIA_Q1_2024_financial_chunk_34,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,34,33791,34785,248,True,
BRITANNIA_Q1_2024_financial_chunk_35,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,35,34785,35779,248,False,
BRITANNIA_Q1_2024_financial_chunk_36,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,36,35779,36706,231,False,
BRITANNIA_Q1_2025_financial_chunk_0,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,0,0,998,249,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_1,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,1,998,1989,247,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_2,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,2,1989,2983,248,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_3,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,3,2983,3976,248,True,
BRITANNIA_Q1_2025_financial_chunk_4,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,4,3976,4975,249,True,
BRITANNIA_Q1_2025_financial_chunk_5,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,5,4975,5942,241,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_6,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,6,5942,6902,239,True,
BRITANNIA_Q1_2025_financial_chunk_7,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,7,6902,7895,248,True,
BRITANNIA_Q1_2025_financial_chunk_8,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,8,7895,8890,248,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_9,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,9,8890,9883,248,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_10,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,10,9883,10882,249,False,
BRITANNIA_Q1_2025_financial_chunk_11,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,11,10882,11875,248,False,
BRITANNIA_Q1_2025_financial_chunk_12,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,12,11875,12868,248,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_13,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,13,12868,13856,246,False,
BRITANNIA_Q1_2025_financial_chunk_14,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,14,13856,14837,245,False,
BRITANNIA_Q1_2025_financial_chunk_15,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,15,14837,15836,249,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_16,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,16,15836,16835,249,True,
BRITANNIA_Q1_2025_financial_chunk_17,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,17,16835,17825,247,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_18,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,18,17825,18746,230,True,
BRITANNIA_Q1_2025_financial_chunk_19,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,19,18746,19745,249,True,
BRITANNIA_Q1_2025_financial_chunk_20,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,20,19745,20741,248,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_21,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,21,20741,21728,246,False,
BRITANNIA_Q1_2025_financial_chunk_22,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,22,21728,22724,248,False,
BRITANNIA_Q1_2025_financial_chunk_23,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,23,22724,23718,248,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_24,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,24,23718,24717,249,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_25,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,25,24717,25715,249,True,
BRITANNIA_Q1_2025_financial_chunk_26,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,26,25715,26664,237,True,financial_metrics
BRITANNIA_Q1_2025_financial_chunk_27,BRITANNIA_Q1_2025_financial,BRITANNIA,Q1,2025,financial,fixed_size,27,26664,27637,243,True,
BRITANNIA_Q2_2024_financial_chunk_0,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,0,0,998,249,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_1,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,1,998,1994,248,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_2,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,2,1994,2992,249,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_3,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,3,2992,3986,248,True,
BRITANNIA_Q2_2024_financial_chunk_4,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,4,3986,4980,248,True,
BRITANNIA_Q2_2024_financial_chunk_5,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,5,4980,5973,248,True,
BRITANNIA_Q2_2024_financial_chunk_6,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,6,5973,6962,247,False,
BRITANNIA_Q2_2024_financial_chunk_7,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,7,6962,7954,247,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_8,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,8,7954,8950,248,False,
BRITANNIA_Q2_2024_financial_chunk_9,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,9,8950,9949,249,True,
BRITANNIA_Q2_2024_financial_chunk_10,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,10,9949,10937,246,True,
BRITANNIA_Q2_2024_financial_chunk_11,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,11,10937,11936,249,False,
BRITANNIA_Q2_2024_financial_chunk_12,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,12,11936,12933,249,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_13,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,13,12933,13927,248,True,
BRITANNIA_Q2_2024_financial_chunk_14,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,14,13927,14924,249,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_15,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,15,14924,15921,249,True,
BRITANNIA_Q2_2024_financial_chunk_16,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,16,15921,16918,249,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_17,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,17,16918,17913,248,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_18,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,18,17913,18901,246,False,
BRITANNIA_Q2_2024_financial_chunk_19,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,19,18901,19892,247,False,
BRITANNIA_Q2_2024_financial_chunk_20,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,20,19892,20889,249,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_21,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,21,20889,21880,247,False,
BRITANNIA_Q2_2024_financial_chunk_22,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,22,21880,22873,248,False,
BRITANNIA_Q2_2024_financial_chunk_23,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,23,22873,23870,249,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_24,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,24,23870,24866,248,True,
BRITANNIA_Q2_2024_financial_chunk_25,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,25,24866,25860,248,True,
BRITANNIA_Q2_2024_financial_chunk_26,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,26,25860,26853,248,False,
BRITANNIA_Q2_2024_financial_chunk_27,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,27,26853,27845,247,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_28,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,28,27845,28839,248,False,
BRITANNIA_Q2_2024_financial_chunk_29,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,29,28839,29837,249,True,
BRITANNIA_Q2_2024_financial_chunk_30,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,30,29837,30834,249,False,
BRITANNIA_Q2_2024_financial_chunk_31,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,31,30834,31825,247,False,
BRITANNIA_Q2_2024_financial_chunk_32,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,32,31825,32822,249,True,
BRITANNIA_Q2_2024_financial_chunk_33,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,33,32822,33818,248,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_34,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,34,33818,34816,249,True,
BRITANNIA_Q2_2024_financial_chunk_35,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,35,34816,35813,249,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_36,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,36,35813,36811,249,True,
BRITANNIA_Q2_2024_financial_chunk_37,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,37,36811,37808,249,False,
BRITANNIA_Q2_2024_financial_chunk_38,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,38,37808,38806,249,False,
BRITANNIA_Q2_2024_financial_chunk_39,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,39,38806,39804,249,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_40,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,40,39804,40802,249,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_41,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,41,40802,41800,249,True,
BRITANNIA_Q2_2024_financial_chunk_42,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,42,41800,42799,249,True,
BRITANNIA_Q2_2024_financial_chunk_43,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,43,42799,43773,243,True,financial_metrics
BRITANNIA_Q2_2024_financial_chunk_44,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,44,43773,44769,248,True,
BRITANNIA_Q2_2024_financial_chunk_45,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,45,44769,45768,249,True,
BRITANNIA_Q2_2024_financial_chunk_46,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,46,45768,46759,247,True,
BRITANNIA_Q2_2024_financial_chunk_47,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,47,46759,47758,249,False,
BRITANNIA_Q2_2024_financial_chunk_48,BRITANNIA_Q2_2024_financial,BRITANNIA,Q2,2024,financial,fixed_size,48,47758,48338,144,False,
BRITANNIA_Q2_2025_financial_chunk_0,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,0,0,991,247,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_1,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,1,991,1987,248,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_2,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,2,1987,2981,248,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_3,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,3,2981,3976,248,True,
BRITANNIA_Q2_2025_financial_chunk_4,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,4,3976,4974,249,True,
BRITANNIA_Q2_2025_financial_chunk_5,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,5,4974,5968,248,True,
BRITANNIA_Q2_2025_financial_chunk_6,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,6,5968,6966,249,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_7,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,7,6966,7965,249,False,
BRITANNIA_Q2_2025_financial_chunk_8,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,8,7965,8962,249,True,
BRITANNIA_Q2_2025_financial_chunk_9,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,9,8962,9961,249,True,
BRITANNIA_Q2_2025_financial_chunk_10,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,10,9961,10960,249,False,
BRITANNIA_Q2_2025_financial_chunk_11,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,11,10960,11951,247,True,
BRITANNIA_Q2_2025_financial_chunk_12,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,12,11951,12949,249,True,
BRITANNIA_Q2_2025_financial_chunk_13,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,13,12949,13918,242,True,
BRITANNIA_Q2_2025_financial_chunk_14,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,14,13918,14915,249,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_15,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,15,14915,15914,249,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_16,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,16,15914,16910,248,False,
BRITANNIA_Q2_2025_financial_chunk_17,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,17,16910,17907,249,False,
BRITANNIA_Q2_2025_financial_chunk_18,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,18,17907,18904,249,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_19,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,19,18904,19902,249,False,
BRITANNIA_Q2_2025_financial_chunk_20,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,20,19902,20883,245,False,
BRITANNIA_Q2_2025_financial_chunk_21,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,21,20883,21881,249,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_22,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,22,21881,22877,248,True,
BRITANNIA_Q2_2025_financial_chunk_23,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,23,22877,23868,247,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_24,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,24,23868,24865,249,False,
BRITANNIA_Q2_2025_financial_chunk_25,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,25,24865,25853,246,False,
BRITANNIA_Q2_2025_financial_chunk_26,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,26,25853,26850,249,True,
BRITANNIA_Q2_2025_financial_chunk_27,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,27,26850,27846,248,False,
BRITANNIA_Q2_2025_financial_chunk_28,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,28,27846,28839,248,True,
BRITANNIA_Q2_2025_financial_chunk_29,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,29,28839,29791,237,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_30,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,30,29791,30785,248,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_31,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,31,30785,31778,248,True,
BRITANNIA_Q2_2025_financial_chunk_32,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,32,31778,32772,248,False,
BRITANNIA_Q2_2025_financial_chunk_33,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,33,32772,33766,248,False,
BRITANNIA_Q2_2025_financial_chunk_34,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,34,33766,34756,247,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_35,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,35,34756,35754,249,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_36,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,36,35754,36582,206,True,
BRITANNIA_Q2_2025_financial_chunk_37,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,37,36582,37508,231,True,financial_metrics
BRITANNIA_Q2_2025_financial_chunk_38,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,38,37508,38503,248,True,
BRITANNIA_Q2_2025_financial_chunk_39,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,39,38503,39501,249,True,
BRITANNIA_Q2_2025_financial_chunk_40,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,40,39501,40499,249,True,management_discussion
BRITANNIA_Q2_2025_financial_chunk_41,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,41,40499,41494,248,True,management_discussion
BRITANNIA_Q2_2025_financial_chunk_42,BRITANNIA_Q2_2025_financial,BRITANNIA,Q2,2025,financial,fixed_size,42,41494,41769,68,False,
BRITANNIA_Q3_2024_financial_chunk_0,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,0,0,995,248,True,financial_metrics
BRITANNIA_Q3_2024_financial_chunk_1,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,1,995,1985,247,True,financial_metrics
BRITANNIA_Q3_2024_financial_chunk_2,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,2,1985,2983,249,True,financial_metrics
BRITANNIA_Q3_2024_financial_chunk_3,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,3,2983,3979,248,True,
BRITANNIA_Q3_2024_financial_chunk_4,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,4,3979,4976,249,True,
BRITANNIA_Q3_2024_financial_chunk_5,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,5,4976,5971,248,True,
BRITANNIA_Q3_2024_financial_chunk_6,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,6,5971,6966,248,False,
BRITANNIA_Q3_2024_financial_chunk_7,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,7,6966,7960,248,True,financial_metrics
BRITANNIA_Q3_2024_financial_chunk_8,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,8,7960,8951,247,True,financial_metrics
BRITANNIA_Q3_2024_financial_chunk_9,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,9,8951,9948,249,True,financial_metrics
BRITANNIA_Q3_2024_financial_chunk_10,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,10,9948,10942,248,True,
BRITANNIA_Q3_2024_financial_chunk_11,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,11,10942,11940,249,True,
BRITANNIA_Q3_2024_financial_chunk_12,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,12,11940,12936,248,True,financial_metrics
BRITANNIA_Q3_2024_financial_chunk_13,BRITANNIA_Q3_2024_financial,BRITANNIA,Q3,2024,financial,fixed_size,13,12936,13931,248,True,
